data_timestep,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y,edge_id,edge_traveltime,lane_CO,lane_CO2,lane_HC,lane_NOx,lane_PMx,lane_electricity,lane_fuel,lane_id,lane_maxspeed,lane_meanspeed,lane_noise,lane_occupancy,lane_vehicle_count
12.00,205.67,13687.16,1.27,5.89,0.31,90.00,HBEFA3/PC_G_EU4,0.00,5.88,1,e0_0,74.25,116.16,route01,20.72,Car,0.00,116.16,-1.60,,,,,,,,,,,,,,,
12.00,222.20,14126.87,1.36,6.19,0.32,90.00,HBEFA3/PC_G_EU4,0.00,6.07,2,e0_0,74.96,68.79,route01,16.90,Car,0.00,68.79,-1.60,,,,,,,,,,,,,,,
12.00,160.95,9172.80,0.95,4.02,0.20,90.00,HBEFA3/PC_G_EU4,0.00,3.94,3,e0_0,71.82,31.10,route01,10.40,Car,0.00,31.10,-1.60,,,,,,,,,,,,,,,
12.00,148.66,4880.65,0.79,2.16,0.11,90.00,HBEFA3/PC_G_EU4,0.00,2.10,4,e0_0,68.91,10.30,route01,3.90,Car,0.00,10.30,-1.60,,,,,,,,,,,,,,,
12.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
12.00,,,,,,,,,,,,,,,,,,,,:gneJ2_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ2_0_0,33.53,33.53,0.00,0.00,0
12.00,,,,,,,,,,,,,,,,,,,,e0,107.58,983.34,57450.20,5.88,25.00,1.29,0.00,24.70,e0_0,33.53,14.96,80.68,0.02,5
12.00,,,,,,,,,,,,,,,,,,,,e1,59.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1_0,33.53,33.53,0.00,0.00,0
12.00,,,,,,,,,,,,,,,,,,,,e2,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e2_0,33.53,33.53,0.00,0.00,0
13.00,195.50,12998.72,1.21,5.49,0.30,90.00,HBEFA3/PC_G_EU4,0.00,5.59,0,e0_0,74.32,175.12,route01,24.28,Car01,0.00,175.12,-1.60,,,,,,,,,,,,,,,
13.00,242.63,15437.40,1.49,6.67,0.36,90.00,HBEFA3/PC_G_EU4,0.00,6.64,1,e0_0,75.46,138.86,route01,22.70,Car,0.00,138.86,-1.60,,,,,,,,,,,,,,,
13.00,260.41,16294.51,1.59,7.15,0.37,90.00,HBEFA3/PC_G_EU4,0.00,7.00,2,e0_0,76.23,88.29,route01,19.50,Car,0.00,88.29,-1.60,,,,,,,,,,,,,,,
13.00,179.58,11075.16,1.09,4.85,0.24,90.00,HBEFA3/PC_G_EU4,0.00,4.76,3,e0_0,73.06,44.10,route01,13.00,Car,0.00,44.10,-1.60,,,,,,,,,,,,,,,
13.00,147.70,6517.63,0.83,2.87,0.14,90.00,HBEFA3/PC_G_EU4,0.00,2.80,4,e0_0,70.03,16.80,route01,6.50,Car,0.00,16.80,-1.60,,,,,,,,,,,,,,,
13.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
13.00,,,,,,,,,,,,,,,,,,,,:gneJ2_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ2_0_0,33.53,33.53,0.00,0.00,0
13.00,,,,,,,,,,,,,,,,,,,,e0,93.59,1025.83,62323.41,6.20,27.03,1.41,0.00,26.79,e0_0,33.53,17.20,81.29,0.02,5
13.00,,,,,,,,,,,,,,,,,,,,e1,59.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1_0,33.53,33.53,0.00,0.00,0
13.00,,,,,,,,,,,,,,,,,,,,e2,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e2_0,33.53,33.53,0.00,0.00,0
14.00,206.33,13319.90,1.27,5.61,0.31,90.00,HBEFA3/PC_G_EU4,0.00,5.73,0,e0_0,74.75,200.73,route01,25.61,Car01,0.00,200.73,-1.60,,,,,,,,,,,,,,,
14.00,207.20,13575.90,1.28,5.76,0.31,90.00,HBEFA3/PC_G_EU4,0.00,5.84,1,e0_0,74.59,163.07,route01,24.21,Car,0.00,163.07,-1.60,,,,,,,,,,,,,,,
14.00,306.46,18568.28,1.85,8.16,0.44,90.00,HBEFA3/PC_G_EU4,0.00,7.98,2,e0_0,77.50,110.39,route01,22.10,Car,0.00,110.39,-1.60,,,,,,,,,,,,,,,
14.00,206.05,13083.64,1.26,5.73,0.29,90.00,HBEFA3/PC_G_EU4,0.00,5.62,3,e0_0,74.32,59.70,route01,15.60,Car,0.00,59.70,-1.60,,,,,,,,,,,,,,,
