data_timestep,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y,edge_id,edge_traveltime,lane_CO,lane_CO2,lane_HC,lane_NOx,lane_PMx,lane_electricity,lane_fuel,lane_id,lane_maxspeed,lane_meanspeed,lane_noise,lane_occupancy,lane_vehicle_count
11.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
11.00,,,,,,,,,,,,,,,,,,,,gneE0,657.60,583.52,34073.00,3.48,14.66,0.72,0.00,10867.63,gneE0_0,33.53,12.24,77.27,0.00,4
11.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
11.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
12.00,226.09,14682.57,1.39,6.35,0.33,90.00,HBEFA3/PC_G_EU4,0.00,4682.99,0,gneE0_0,74.93,147.45,route01,21.27,Car01,0.00,147.45,0.00,,,,,,,,,,,,,,,
12.00,233.78,14877.64,1.43,6.52,0.34,90.00,HBEFA3/PC_G_EU4,0.00,4745.20,1,gneE0_0,75.33,89.30,route01,18.18,Car01,0.00,89.30,0.00,,,,,,,,,,,,,,,
12.00,145.05,9008.89,0.88,3.90,0.19,90.00,HBEFA3/PC_G_EU4,0.00,2873.39,2,gneE0_0,70.86,46.56,route01,11.90,Car01,0.00,46.56,0.00,,,,,,,,,,,,,,,
12.00,115.20,4609.75,0.63,1.98,0.09,90.00,HBEFA3/PC_G_EU4,0.00,1470.31,3,gneE0_0,65.46,17.17,route01,5.95,Car01,0.00,17.17,0.00,,,,,,,,,,,,,,,
12.00,164.78,2624.72,0.81,1.20,0.07,90.00,HBEFA3/PC_G_EU4,0.00,837.22,4,gneE0_0,55.94,5.10,route01,0.00,Car01,0.00,5.10,0.00,,,,,,,,,,,,,,,
12.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
12.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
12.00,,,,,,,,,,,,,,,,,,,,gneE0,702.06,884.91,45803.57,5.14,19.95,1.02,0.00,14609.12,gneE0_0,33.53,11.46,79.10,0.00,5
